spin,time,day
1,1.95,1
2,2.12,1
3,2.28,1
4,4.66,1
5,4.06,1
6,5.69,1
7,5.46,1
8,7,1
9,8.52,1
10,9.63,1
11,9.65,1
12,10.22,1
13,10.85,1
14,12.58,1
15,14.04,1
16,11.71,1
17,12.58,1
18,17.2,1
19,16.06,1
20,19.63,1
21,19.86,1
22,23.33,1
23,24.03,1
24,23.8,1
25,23.63,1
26,25,1
27,25.9,1
28,26.22,1
29,26.02,1
30,40.82,1
31,21.61,1
32,23.92,1
33,26.43,1
34,30.46,1
35,29.3,1
36,27.42,1
37,27.66,1
38,34.87,1
39,30.45,1
40,35.65,1
41,39.51,1
42,41.68,1
43,42,1
44,40.2,1
45,42.45,1
46,43.31,1
47,43.51,1
48,39.4,1
49,46.8,1
50,44.56,1
51,44.1,1
52,46.85,1
53,25.36,2
54,27.19,2
55,25.7,2
56,30.13,2
57,33.01,2
58,30.63,2
59,39.88,2
60,42.4,2
61,45.43,2
62,42.65,2
63,41.93,2
64,45.98,2
65,50.73,2
66,51.45,2
67,56.37,2
68,51.86,2
69,52.18,2
70,67.77,2
71,56.95,2
72,71.13,2
73,72.28,2
74,74.42,2
75,76.72,2
76,77.63,2
77,66.3,2
78,77.83,2
79,82.16,2
80,79.13,2
81,77.36,2
82,78.02,2
83,75.14,2
84,74.63,2
85,80.94,2
86,80.17,2
87,85.97,2
88,80.88,2
89,80.27,2
90,83.1,2
91,85.53,2
92,87.35,2
93,87.06,2
94,87.07,2
95,85.98,2
96,84.66,2
97,84.85,2
98,80.72,2
99,80.35,2
100,81.62,2
